data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
Cora,per_node_highest_degree,epagcl_sage,55,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,59,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,65,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,73,5,2,-3,0
Cora,per_node_highest_degree,epagcl_sage,88,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,89,1,3,2,1
Cora,per_node_highest_degree,epagcl_sage,94,3,3,0,0
Cora,per_node_highest_degree,epagcl_sage,95,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,109,2,4,2,1
Cora,per_node_highest_degree,epagcl_sage,118,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,154,4,5,1,1
Cora,per_node_highest_degree,epagcl_sage,180,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,210,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,218,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,236,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,239,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,279,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,306,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,310,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,316,1,5,4,1
Cora,per_node_highest_degree,epagcl_sage,350,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,364,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,415,2,2,0,0
Cora,per_node_highest_degree,epagcl_sage,429,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,436,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,441,12,7,-5,0
Cora,per_node_highest_degree,epagcl_sage,454,7,10,3,1
Cora,per_node_highest_degree,epagcl_sage,456,15,12,-3,0
Cora,per_node_highest_degree,epagcl_sage,487,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,505,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,507,3,5,2,1
Cora,per_node_highest_degree,epagcl_sage,519,2,3,1,1
Cora,per_node_highest_degree,epagcl_sage,525,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,565,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,577,16,18,2,1
Cora,per_node_highest_degree,epagcl_sage,598,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,645,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,657,36,92,56,1
Cora,per_node_highest_degree,epagcl_sage,661,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,687,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,733,2,1,-1,0
Cora,per_node_highest_degree,epagcl_sage,734,36,33,-3,0
Cora,per_node_highest_degree,epagcl_sage,736,3,6,3,1
Cora,per_node_highest_degree,epagcl_sage,748,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,756,1,6,5,1
Cora,per_node_highest_degree,epagcl_sage,963,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,973,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1013,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1015,10,18,8,1
Cora,per_node_highest_degree,epagcl_sage,1042,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1050,1,3,2,1
Cora,per_node_highest_degree,epagcl_sage,1072,1,2,1,1
Cora,per_node_highest_degree,epagcl_sage,1103,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1119,3,3,0,0
Cora,per_node_highest_degree,epagcl_sage,1131,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1154,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1169,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1171,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1224,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1229,1,3,2,1
Cora,per_node_highest_degree,epagcl_sage,1257,1,3,2,1
Cora,per_node_highest_degree,epagcl_sage,1309,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1317,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1351,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1358,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1367,5,5,0,0
Cora,per_node_highest_degree,epagcl_sage,1413,1,2,1,1
Cora,per_node_highest_degree,epagcl_sage,1416,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1441,3,4,1,1
Cora,per_node_highest_degree,epagcl_sage,1483,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1505,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1542,2,4,2,1
Cora,per_node_highest_degree,epagcl_sage,1583,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1602,1,1,0,0
Cora,per_node_highest_degree,epagcl_sage,1623,1,1,0,0
