data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
PubMed,per_node_highest_degree,epagcl_sage,2,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,10,1,2,1,1
PubMed,per_node_highest_degree,epagcl_sage,47,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,49,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,57,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,70,112,73,-39,0
PubMed,per_node_highest_degree,epagcl_sage,75,4,2,-2,0
PubMed,per_node_highest_degree,epagcl_sage,89,20,43,23,1
PubMed,per_node_highest_degree,epagcl_sage,107,1391,2329,938,1
PubMed,per_node_highest_degree,epagcl_sage,110,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,114,2,1,-1,0
PubMed,per_node_highest_degree,epagcl_sage,128,3,7,4,1
PubMed,per_node_highest_degree,epagcl_sage,152,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,159,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,160,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,162,5,33,28,1
PubMed,per_node_highest_degree,epagcl_sage,165,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,167,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,173,1,3,2,1
PubMed,per_node_highest_degree,epagcl_sage,198,234,1099,865,1
PubMed,per_node_highest_degree,epagcl_sage,207,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,209,42,38,-4,0
PubMed,per_node_highest_degree,epagcl_sage,215,7,7,0,0
PubMed,per_node_highest_degree,epagcl_sage,216,1,3,2,1
PubMed,per_node_highest_degree,epagcl_sage,222,5,6,1,1
PubMed,per_node_highest_degree,epagcl_sage,257,2,4,2,1
PubMed,per_node_highest_degree,epagcl_sage,261,15,6,-9,0
PubMed,per_node_highest_degree,epagcl_sage,273,7,14,7,1
PubMed,per_node_highest_degree,epagcl_sage,297,1,4,3,1
PubMed,per_node_highest_degree,epagcl_sage,315,3,14,11,1
PubMed,per_node_highest_degree,epagcl_sage,324,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,325,18,23,5,1
PubMed,per_node_highest_degree,epagcl_sage,328,2,13,11,1
PubMed,per_node_highest_degree,epagcl_sage,361,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,363,1,3,2,1
PubMed,per_node_highest_degree,epagcl_sage,370,10,19,9,1
PubMed,per_node_highest_degree,epagcl_sage,371,1,2,1,1
PubMed,per_node_highest_degree,epagcl_sage,380,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,382,9,2,-7,0
PubMed,per_node_highest_degree,epagcl_sage,383,8,8,0,0
PubMed,per_node_highest_degree,epagcl_sage,386,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,393,19,17,-2,0
PubMed,per_node_highest_degree,epagcl_sage,404,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,409,1,8,7,1
PubMed,per_node_highest_degree,epagcl_sage,421,2,3,1,1
PubMed,per_node_highest_degree,epagcl_sage,443,3,3,0,0
PubMed,per_node_highest_degree,epagcl_sage,468,4,3,-1,0
PubMed,per_node_highest_degree,epagcl_sage,482,9,57,48,1
PubMed,per_node_highest_degree,epagcl_sage,484,86,155,69,1
PubMed,per_node_highest_degree,epagcl_sage,487,1,1,0,0
PubMed,per_node_highest_degree,epagcl_sage,491,7,4,-3,0
PubMed,per_node_highest_degree,epagcl_sage,501,20,50,30,1
PubMed,per_node_highest_degree,epagcl_sage,512,4,12,8,1
