data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
PubMed,per_node_p_page_rank,epagcl_gcn,2,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,10,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,47,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,49,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,57,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,70,143,97,-46,0
PubMed,per_node_p_page_rank,epagcl_gcn,75,3,4,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,89,27,47,20,1
PubMed,per_node_p_page_rank,epagcl_gcn,107,958,1864,906,1
PubMed,per_node_p_page_rank,epagcl_gcn,110,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,114,2,2,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,128,3,7,4,1
PubMed,per_node_p_page_rank,epagcl_gcn,152,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,159,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,160,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,162,7,31,24,1
PubMed,per_node_p_page_rank,epagcl_gcn,165,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,167,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,173,1,3,2,1
PubMed,per_node_p_page_rank,epagcl_gcn,198,227,1094,867,1
PubMed,per_node_p_page_rank,epagcl_gcn,207,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,209,39,53,14,1
PubMed,per_node_p_page_rank,epagcl_gcn,215,6,7,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,216,1,11,10,1
PubMed,per_node_p_page_rank,epagcl_gcn,222,2,7,5,1
PubMed,per_node_p_page_rank,epagcl_gcn,257,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,261,13,5,-8,0
PubMed,per_node_p_page_rank,epagcl_gcn,273,7,8,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,297,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,315,3,13,10,1
PubMed,per_node_p_page_rank,epagcl_gcn,324,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,325,23,20,-3,0
PubMed,per_node_p_page_rank,epagcl_gcn,328,2,10,8,1
PubMed,per_node_p_page_rank,epagcl_gcn,361,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,363,1,3,2,1
PubMed,per_node_p_page_rank,epagcl_gcn,370,11,12,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,371,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,380,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,382,9,2,-7,0
PubMed,per_node_p_page_rank,epagcl_gcn,383,6,5,-1,0
PubMed,per_node_p_page_rank,epagcl_gcn,386,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,393,11,11,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,404,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,409,1,9,8,1
PubMed,per_node_p_page_rank,epagcl_gcn,421,2,2,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,443,3,3,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,468,4,3,-1,0
PubMed,per_node_p_page_rank,epagcl_gcn,482,14,82,68,1
PubMed,per_node_p_page_rank,epagcl_gcn,484,99,83,-16,0
PubMed,per_node_p_page_rank,epagcl_gcn,487,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,491,11,5,-6,0
PubMed,per_node_p_page_rank,epagcl_gcn,501,20,29,9,1
PubMed,per_node_p_page_rank,epagcl_gcn,512,4,4,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,535,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,536,1,5,4,1
PubMed,per_node_p_page_rank,epagcl_gcn,539,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,552,13,37,24,1
PubMed,per_node_p_page_rank,epagcl_gcn,557,2,1,-1,0
PubMed,per_node_p_page_rank,epagcl_gcn,558,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,566,8,16,8,1
PubMed,per_node_p_page_rank,epagcl_gcn,574,12,7,-5,0
PubMed,per_node_p_page_rank,epagcl_gcn,579,11,79,68,1
PubMed,per_node_p_page_rank,epagcl_gcn,588,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,592,14,13,-1,0
PubMed,per_node_p_page_rank,epagcl_gcn,624,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,636,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,643,2,3,1,1
PubMed,per_node_p_page_rank,epagcl_gcn,645,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,661,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,673,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,675,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_gcn,677,1,7,6,1
