data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
PubMed,per_node_p_page_rank,epagcl_sage,2,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,10,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_sage,47,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,49,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,57,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,70,112,76,-36,0
PubMed,per_node_p_page_rank,epagcl_sage,75,4,4,0,0
PubMed,per_node_p_page_rank,epagcl_sage,89,20,40,20,1
PubMed,per_node_p_page_rank,epagcl_sage,107,1391,2329,938,1
PubMed,per_node_p_page_rank,epagcl_sage,110,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,114,2,2,0,0
PubMed,per_node_p_page_rank,epagcl_sage,128,3,7,4,1
PubMed,per_node_p_page_rank,epagcl_sage,152,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,159,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,160,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,162,5,33,28,1
PubMed,per_node_p_page_rank,epagcl_sage,165,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,167,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_sage,173,1,3,2,1
PubMed,per_node_p_page_rank,epagcl_sage,198,234,1099,865,1
PubMed,per_node_p_page_rank,epagcl_sage,207,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,209,42,55,13,1
PubMed,per_node_p_page_rank,epagcl_sage,215,7,9,2,1
PubMed,per_node_p_page_rank,epagcl_sage,216,1,3,2,1
PubMed,per_node_p_page_rank,epagcl_sage,222,5,6,1,1
PubMed,per_node_p_page_rank,epagcl_sage,257,2,4,2,1
PubMed,per_node_p_page_rank,epagcl_sage,261,15,4,-11,0
PubMed,per_node_p_page_rank,epagcl_sage,273,7,14,7,1
PubMed,per_node_p_page_rank,epagcl_sage,297,1,4,3,1
PubMed,per_node_p_page_rank,epagcl_sage,315,3,14,11,1
PubMed,per_node_p_page_rank,epagcl_sage,324,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,325,18,17,-1,0
PubMed,per_node_p_page_rank,epagcl_sage,328,2,13,11,1
PubMed,per_node_p_page_rank,epagcl_sage,361,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,363,1,3,2,1
PubMed,per_node_p_page_rank,epagcl_sage,370,10,11,1,1
PubMed,per_node_p_page_rank,epagcl_sage,371,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_sage,380,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,382,9,3,-6,0
PubMed,per_node_p_page_rank,epagcl_sage,383,8,8,0,0
PubMed,per_node_p_page_rank,epagcl_sage,386,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,393,19,17,-2,0
PubMed,per_node_p_page_rank,epagcl_sage,404,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,409,1,8,7,1
PubMed,per_node_p_page_rank,epagcl_sage,421,2,3,1,1
PubMed,per_node_p_page_rank,epagcl_sage,443,3,3,0,0
PubMed,per_node_p_page_rank,epagcl_sage,468,4,2,-2,0
PubMed,per_node_p_page_rank,epagcl_sage,482,9,57,48,1
PubMed,per_node_p_page_rank,epagcl_sage,484,86,75,-11,0
PubMed,per_node_p_page_rank,epagcl_sage,487,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,491,7,4,-3,0
PubMed,per_node_p_page_rank,epagcl_sage,501,20,31,11,1
PubMed,per_node_p_page_rank,epagcl_sage,512,4,5,1,1
PubMed,per_node_p_page_rank,epagcl_sage,535,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_sage,536,2,5,3,1
PubMed,per_node_p_page_rank,epagcl_sage,539,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,552,8,33,25,1
PubMed,per_node_p_page_rank,epagcl_sage,557,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,558,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_sage,566,8,15,7,1
PubMed,per_node_p_page_rank,epagcl_sage,574,15,7,-8,0
PubMed,per_node_p_page_rank,epagcl_sage,579,10,81,71,1
PubMed,per_node_p_page_rank,epagcl_sage,588,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,592,11,12,1,1
PubMed,per_node_p_page_rank,epagcl_sage,624,1,3,2,1
PubMed,per_node_p_page_rank,epagcl_sage,636,1,3,2,1
PubMed,per_node_p_page_rank,epagcl_sage,643,2,3,1,1
PubMed,per_node_p_page_rank,epagcl_sage,645,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,661,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_sage,673,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,675,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,677,1,5,4,1
PubMed,per_node_p_page_rank,epagcl_sage,686,3,8,5,1
PubMed,per_node_p_page_rank,epagcl_sage,690,4,34,30,1
PubMed,per_node_p_page_rank,epagcl_sage,707,2,2,0,0
PubMed,per_node_p_page_rank,epagcl_sage,713,4,5,1,1
PubMed,per_node_p_page_rank,epagcl_sage,721,15,9,-6,0
PubMed,per_node_p_page_rank,epagcl_sage,723,5,20,15,1
PubMed,per_node_p_page_rank,epagcl_sage,724,1,3,2,1
PubMed,per_node_p_page_rank,epagcl_sage,748,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,752,8,10,2,1
PubMed,per_node_p_page_rank,epagcl_sage,755,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,770,7,7,0,0
PubMed,per_node_p_page_rank,epagcl_sage,777,2,2,0,0
PubMed,per_node_p_page_rank,epagcl_sage,782,2,4,2,1
PubMed,per_node_p_page_rank,epagcl_sage,835,1,1,0,0
PubMed,per_node_p_page_rank,epagcl_sage,846,7,8,1,1
PubMed,per_node_p_page_rank,epagcl_sage,885,2,2,0,0
PubMed,per_node_p_page_rank,epagcl_sage,889,6,5,-1,0
PubMed,per_node_p_page_rank,epagcl_sage,908,1,2,1,1
PubMed,per_node_p_page_rank,epagcl_sage,920,19,4,-15,0
PubMed,per_node_p_page_rank,epagcl_sage,929,293,256,-37,0
PubMed,per_node_p_page_rank,epagcl_sage,938,38,48,10,1
PubMed,per_node_p_page_rank,epagcl_sage,956,3,27,24,1
