data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
PubMed,per_node_targeted_node,epagcl_gcn,2,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,10,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,47,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,49,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,57,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,70,143,283,140,1
PubMed,per_node_targeted_node,epagcl_gcn,75,3,6,3,1
PubMed,per_node_targeted_node,epagcl_gcn,89,27,27,0,0
PubMed,per_node_targeted_node,epagcl_gcn,107,958,1725,767,1
PubMed,per_node_targeted_node,epagcl_gcn,110,1,2,1,1
PubMed,per_node_targeted_node,epagcl_gcn,114,2,1,-1,0
PubMed,per_node_targeted_node,epagcl_gcn,128,3,9,6,1
PubMed,per_node_targeted_node,epagcl_gcn,152,1,4,3,1
PubMed,per_node_targeted_node,epagcl_gcn,159,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,160,1,3,2,1
PubMed,per_node_targeted_node,epagcl_gcn,162,7,56,49,1
PubMed,per_node_targeted_node,epagcl_gcn,165,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,167,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,173,1,3,2,1
PubMed,per_node_targeted_node,epagcl_gcn,198,227,1247,1020,1
PubMed,per_node_targeted_node,epagcl_gcn,207,1,2,1,1
PubMed,per_node_targeted_node,epagcl_gcn,209,39,72,33,1
PubMed,per_node_targeted_node,epagcl_gcn,215,6,9,3,1
PubMed,per_node_targeted_node,epagcl_gcn,216,1,5,4,1
PubMed,per_node_targeted_node,epagcl_gcn,222,2,5,3,1
PubMed,per_node_targeted_node,epagcl_gcn,257,1,55,54,1
PubMed,per_node_targeted_node,epagcl_gcn,261,13,6,-7,0
PubMed,per_node_targeted_node,epagcl_gcn,273,7,9,2,1
PubMed,per_node_targeted_node,epagcl_gcn,297,1,6,5,1
PubMed,per_node_targeted_node,epagcl_gcn,315,3,13,10,1
PubMed,per_node_targeted_node,epagcl_gcn,324,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,325,23,31,8,1
PubMed,per_node_targeted_node,epagcl_gcn,328,2,46,44,1
PubMed,per_node_targeted_node,epagcl_gcn,361,1,3,2,1
PubMed,per_node_targeted_node,epagcl_gcn,363,1,2,1,1
PubMed,per_node_targeted_node,epagcl_gcn,370,11,15,4,1
PubMed,per_node_targeted_node,epagcl_gcn,371,1,2,1,1
PubMed,per_node_targeted_node,epagcl_gcn,380,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,382,9,40,31,1
PubMed,per_node_targeted_node,epagcl_gcn,383,6,6,0,0
PubMed,per_node_targeted_node,epagcl_gcn,386,1,4,3,1
PubMed,per_node_targeted_node,epagcl_gcn,393,11,42,31,1
PubMed,per_node_targeted_node,epagcl_gcn,404,1,2,1,1
PubMed,per_node_targeted_node,epagcl_gcn,409,1,12,11,1
PubMed,per_node_targeted_node,epagcl_gcn,421,2,8,6,1
PubMed,per_node_targeted_node,epagcl_gcn,443,3,3,0,0
PubMed,per_node_targeted_node,epagcl_gcn,468,4,4,0,0
PubMed,per_node_targeted_node,epagcl_gcn,482,14,116,102,1
PubMed,per_node_targeted_node,epagcl_gcn,484,99,114,15,1
PubMed,per_node_targeted_node,epagcl_gcn,487,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,491,11,70,59,1
PubMed,per_node_targeted_node,epagcl_gcn,501,20,37,17,1
PubMed,per_node_targeted_node,epagcl_gcn,512,4,22,18,1
PubMed,per_node_targeted_node,epagcl_gcn,535,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,536,1,26,25,1
PubMed,per_node_targeted_node,epagcl_gcn,539,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,552,13,28,15,1
PubMed,per_node_targeted_node,epagcl_gcn,557,2,63,61,1
PubMed,per_node_targeted_node,epagcl_gcn,558,1,2,1,1
PubMed,per_node_targeted_node,epagcl_gcn,566,8,8,0,0
PubMed,per_node_targeted_node,epagcl_gcn,574,12,97,85,1
PubMed,per_node_targeted_node,epagcl_gcn,579,11,101,90,1
PubMed,per_node_targeted_node,epagcl_gcn,588,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,592,14,17,3,1
PubMed,per_node_targeted_node,epagcl_gcn,624,1,5,4,1
PubMed,per_node_targeted_node,epagcl_gcn,636,1,5,4,1
PubMed,per_node_targeted_node,epagcl_gcn,643,2,3,1,1
PubMed,per_node_targeted_node,epagcl_gcn,645,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,661,1,2,1,1
PubMed,per_node_targeted_node,epagcl_gcn,673,1,2,1,1
PubMed,per_node_targeted_node,epagcl_gcn,675,1,2,1,1
PubMed,per_node_targeted_node,epagcl_gcn,677,1,32,31,1
PubMed,per_node_targeted_node,epagcl_gcn,686,3,27,24,1
PubMed,per_node_targeted_node,epagcl_gcn,690,4,8,4,1
PubMed,per_node_targeted_node,epagcl_gcn,707,2,3,1,1
PubMed,per_node_targeted_node,epagcl_gcn,713,4,20,16,1
PubMed,per_node_targeted_node,epagcl_gcn,721,7,11,4,1
PubMed,per_node_targeted_node,epagcl_gcn,723,5,26,21,1
PubMed,per_node_targeted_node,epagcl_gcn,724,1,2,1,1
PubMed,per_node_targeted_node,epagcl_gcn,748,1,2,1,1
PubMed,per_node_targeted_node,epagcl_gcn,752,9,14,5,1
PubMed,per_node_targeted_node,epagcl_gcn,755,1,1,0,0
PubMed,per_node_targeted_node,epagcl_gcn,770,5,36,31,1
PubMed,per_node_targeted_node,epagcl_gcn,777,2,19,17,1
