data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
PubMed,per_node_targeted_node,epagcl_sage,2,1,1,0,0
PubMed,per_node_targeted_node,epagcl_sage,10,1,2,1,1
PubMed,per_node_targeted_node,epagcl_sage,47,1,1,0,0
PubMed,per_node_targeted_node,epagcl_sage,49,1,1,0,0
PubMed,per_node_targeted_node,epagcl_sage,57,1,1,0,0
PubMed,per_node_targeted_node,epagcl_sage,70,112,229,117,1
PubMed,per_node_targeted_node,epagcl_sage,75,4,10,6,1
PubMed,per_node_targeted_node,epagcl_sage,89,20,21,1,1
PubMed,per_node_targeted_node,epagcl_sage,107,1391,2158,767,1
PubMed,per_node_targeted_node,epagcl_sage,110,1,1,0,0
PubMed,per_node_targeted_node,epagcl_sage,114,2,2,0,0
PubMed,per_node_targeted_node,epagcl_sage,128,3,10,7,1
PubMed,per_node_targeted_node,epagcl_sage,152,1,4,3,1
PubMed,per_node_targeted_node,epagcl_sage,159,1,1,0,0
PubMed,per_node_targeted_node,epagcl_sage,160,1,2,1,1
PubMed,per_node_targeted_node,epagcl_sage,162,5,52,47,1
PubMed,per_node_targeted_node,epagcl_sage,165,1,2,1,1
PubMed,per_node_targeted_node,epagcl_sage,167,1,1,0,0
PubMed,per_node_targeted_node,epagcl_sage,173,1,3,2,1
PubMed,per_node_targeted_node,epagcl_sage,198,234,1294,1060,1
PubMed,per_node_targeted_node,epagcl_sage,207,1,2,1,1
PubMed,per_node_targeted_node,epagcl_sage,209,42,75,33,1
PubMed,per_node_targeted_node,epagcl_sage,215,7,10,3,1
PubMed,per_node_targeted_node,epagcl_sage,216,1,2,1,1
PubMed,per_node_targeted_node,epagcl_sage,222,5,5,0,0
PubMed,per_node_targeted_node,epagcl_sage,257,2,66,64,1
PubMed,per_node_targeted_node,epagcl_sage,261,15,6,-9,0
PubMed,per_node_targeted_node,epagcl_sage,273,7,16,9,1
PubMed,per_node_targeted_node,epagcl_sage,297,1,7,6,1
PubMed,per_node_targeted_node,epagcl_sage,315,3,14,11,1
PubMed,per_node_targeted_node,epagcl_sage,324,1,1,0,0
PubMed,per_node_targeted_node,epagcl_sage,325,18,25,7,1
PubMed,per_node_targeted_node,epagcl_sage,328,2,47,45,1
PubMed,per_node_targeted_node,epagcl_sage,361,1,3,2,1
PubMed,per_node_targeted_node,epagcl_sage,363,1,2,1,1
PubMed,per_node_targeted_node,epagcl_sage,370,10,13,3,1
PubMed,per_node_targeted_node,epagcl_sage,371,1,2,1,1
PubMed,per_node_targeted_node,epagcl_sage,380,1,1,0,0
PubMed,per_node_targeted_node,epagcl_sage,382,9,37,28,1
