data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
PubMed,per_node_viking,epagcl_gcn,2,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,10,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,47,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,49,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,57,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,70,143,85,-58,0
PubMed,per_node_viking,epagcl_gcn,75,3,1,-2,0
PubMed,per_node_viking,epagcl_gcn,89,27,30,3,1
PubMed,per_node_viking,epagcl_gcn,107,958,1016,58,1
PubMed,per_node_viking,epagcl_gcn,110,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,114,2,1,-1,0
PubMed,per_node_viking,epagcl_gcn,128,3,5,2,1
PubMed,per_node_viking,epagcl_gcn,152,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,159,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,160,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,162,7,61,54,1
PubMed,per_node_viking,epagcl_gcn,165,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,167,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,173,1,3,2,1
PubMed,per_node_viking,epagcl_gcn,198,227,1116,889,1
PubMed,per_node_viking,epagcl_gcn,207,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,209,39,31,-8,0
PubMed,per_node_viking,epagcl_gcn,215,6,7,1,1
PubMed,per_node_viking,epagcl_gcn,216,1,21,20,1
PubMed,per_node_viking,epagcl_gcn,222,2,2,0,0
PubMed,per_node_viking,epagcl_gcn,257,1,2,1,1
PubMed,per_node_viking,epagcl_gcn,261,13,5,-8,0
PubMed,per_node_viking,epagcl_gcn,273,7,8,1,1
PubMed,per_node_viking,epagcl_gcn,297,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,315,3,13,10,1
PubMed,per_node_viking,epagcl_gcn,324,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,325,23,20,-3,0
PubMed,per_node_viking,epagcl_gcn,328,2,22,20,1
PubMed,per_node_viking,epagcl_gcn,361,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,363,1,4,3,1
PubMed,per_node_viking,epagcl_gcn,370,11,9,-2,0
PubMed,per_node_viking,epagcl_gcn,371,1,2,1,1
PubMed,per_node_viking,epagcl_gcn,380,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,382,9,2,-7,0
PubMed,per_node_viking,epagcl_gcn,383,6,8,2,1
PubMed,per_node_viking,epagcl_gcn,386,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,393,11,10,-1,0
PubMed,per_node_viking,epagcl_gcn,404,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,409,1,12,11,1
PubMed,per_node_viking,epagcl_gcn,421,2,2,0,0
PubMed,per_node_viking,epagcl_gcn,443,3,3,0,0
PubMed,per_node_viking,epagcl_gcn,468,4,6,2,1
PubMed,per_node_viking,epagcl_gcn,482,14,116,102,1
PubMed,per_node_viking,epagcl_gcn,484,99,166,67,1
PubMed,per_node_viking,epagcl_gcn,487,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,491,11,8,-3,0
PubMed,per_node_viking,epagcl_gcn,501,20,15,-5,0
PubMed,per_node_viking,epagcl_gcn,512,4,3,-1,0
PubMed,per_node_viking,epagcl_gcn,535,1,3,2,1
PubMed,per_node_viking,epagcl_gcn,536,1,4,3,1
PubMed,per_node_viking,epagcl_gcn,539,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,552,13,32,19,1
PubMed,per_node_viking,epagcl_gcn,557,2,1,-1,0
PubMed,per_node_viking,epagcl_gcn,558,1,2,1,1
PubMed,per_node_viking,epagcl_gcn,566,8,11,3,1
PubMed,per_node_viking,epagcl_gcn,574,12,14,2,1
PubMed,per_node_viking,epagcl_gcn,579,11,53,42,1
PubMed,per_node_viking,epagcl_gcn,588,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,592,14,30,16,1
PubMed,per_node_viking,epagcl_gcn,624,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,636,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,643,2,2,0,0
PubMed,per_node_viking,epagcl_gcn,645,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,661,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,673,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,675,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,677,1,44,43,1
PubMed,per_node_viking,epagcl_gcn,686,3,3,0,0
PubMed,per_node_viking,epagcl_gcn,690,4,3,-1,0
PubMed,per_node_viking,epagcl_gcn,707,2,2,0,0
PubMed,per_node_viking,epagcl_gcn,713,4,5,1,1
PubMed,per_node_viking,epagcl_gcn,721,7,10,3,1
PubMed,per_node_viking,epagcl_gcn,723,5,19,14,1
PubMed,per_node_viking,epagcl_gcn,724,1,2,1,1
PubMed,per_node_viking,epagcl_gcn,748,1,1,0,0
PubMed,per_node_viking,epagcl_gcn,752,9,12,3,1
PubMed,per_node_viking,epagcl_gcn,755,1,1,0,0
