data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
Cora,Degree,GCN,55,1,1,0,0
Cora,Degree,GCN,59,1,1,0,0
Cora,Degree,GCN,65,1,3,2,1
Cora,Degree,GCN,73,6,5,-1,0
Cora,Degree,GCN,88,1,1,0,0
Cora,Degree,GCN,89,2,2,0,0
Cora,Degree,GCN,94,3,3,0,0
Cora,Degree,GCN,95,1,1,0,0
Cora,Degree,GCN,109,3,4,1,1
Cora,Degree,GCN,118,1,1,0,0
Cora,Degree,GCN,154,2,4,2,1
Cora,Degree,GCN,180,1,1,0,0
Cora,Degree,GCN,210,1,1,0,0
Cora,Degree,GCN,218,1,1,0,0
Cora,Degree,GCN,236,1,1,0,0
Cora,Degree,GCN,239,1,1,0,0
Cora,Degree,GCN,279,1,1,0,0
Cora,Degree,GCN,306,1,1,0,0
Cora,Degree,GCN,310,1,1,0,0
Cora,Degree,GCN,316,2,4,2,1
Cora,Degree,GCN,350,1,5,4,1
Cora,Degree,GCN,364,1,1,0,0
Cora,Degree,GCN,415,2,3,1,1
Cora,Degree,GCN,429,1,1,0,0
Cora,Degree,GCN,436,1,1,0,0
Cora,Degree,GCN,441,45,29,-16,0
Cora,Degree,GCN,454,7,7,0,0
Cora,Degree,GCN,456,60,67,7,1
Cora,Degree,GCN,487,1,1,0,0
Cora,Degree,GCN,505,1,1,0,0
Cora,Degree,GCN,507,3,4,1,1
Cora,Degree,GCN,519,1,5,4,1
Cora,Degree,GCN,525,1,1,0,0
Cora,Degree,GCN,565,1,1,0,0
Cora,Degree,GCN,577,17,18,1,1
Cora,Degree,GCN,598,1,1,0,0
Cora,Degree,GCN,645,1,1,0,0
Cora,Degree,GCN,657,29,76,47,1
Cora,Degree,GCN,661,1,1,0,0
Cora,Degree,GCN,687,1,1,0,0
Cora,Degree,GCN,733,7,7,0,0
Cora,Degree,GCN,734,54,39,-15,0
Cora,Degree,GCN,736,2,5,3,1
Cora,Degree,GCN,748,1,1,0,0
Cora,Degree,GCN,756,1,6,5,1
Cora,Degree,GCN,963,1,1,0,0
Cora,Degree,GCN,973,1,1,0,0
Cora,Degree,GCN,1013,1,1,0,0
Cora,Degree,GCN,1015,1,3,2,1
Cora,Degree,GCN,1042,1,1,0,0
Cora,Degree,GCN,1050,1,1,0,0
Cora,Degree,GCN,1072,2,2,0,0
Cora,Degree,GCN,1103,1,1,0,0
Cora,Degree,GCN,1119,1,1,0,0
Cora,Degree,GCN,1131,1,1,0,0
Cora,Degree,GCN,1154,1,1,0,0
Cora,Degree,GCN,1169,1,1,0,0
Cora,Degree,GCN,1171,1,1,0,0
Cora,Degree,GCN,1224,1,1,0,0
Cora,Degree,GCN,1229,1,1,0,0
Cora,Degree,GCN,1257,2,4,2,1
Cora,Degree,GCN,1309,1,1,0,0
Cora,Degree,GCN,1317,1,1,0,0
Cora,Degree,GCN,1351,1,3,2,1
Cora,Degree,GCN,1358,1,1,0,0
Cora,Degree,GCN,1367,32,32,0,0
Cora,Degree,GCN,1413,1,1,0,0
Cora,Degree,GCN,1416,1,1,0,0
Cora,Degree,GCN,1441,2,3,1,1
Cora,Degree,GCN,1483,1,1,0,0
Cora,Degree,GCN,1505,1,1,0,0
Cora,Degree,GCN,1542,7,8,1,1
Cora,Degree,GCN,1583,3,3,0,0
Cora,Degree,GCN,1602,1,1,0,0
Cora,Degree,GCN,1623,1,1,0,0
Cora,Degree,GCN,1624,1,1,0,0
Cora,Degree,GCN,1628,1,4,3,1
Cora,Degree,GCN,1655,1,1,0,0
Cora,Degree,GCN,1682,1,2,1,1
Cora,Degree,GCN,1692,1,1,0,0
Cora,Degree,GCN,1701,1,1,0,0
Cora,Degree,GCN,1702,7,6,-1,0
Cora,Degree,GCN,1703,1,1,0,0
Cora,Degree,GCN,1725,3,2,-1,0
Cora,Degree,GCN,1740,1,1,0,0
Cora,Degree,GCN,1742,1,1,0,0
Cora,Degree,GCN,1765,1,1,0,0
Cora,Degree,GCN,1776,1,1,0,0
Cora,Degree,GCN,1810,1,1,0,0
Cora,Degree,GCN,1842,1,1,0,0
