data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
Cora,per_node_gold_attack,gca,55,1,1,0,0
Cora,per_node_gold_attack,gca,59,1,1,0,0
Cora,per_node_gold_attack,gca,65,1,1,0,0
Cora,per_node_gold_attack,gca,73,3,3,0,0
Cora,per_node_gold_attack,gca,88,1,1,0,0
Cora,per_node_gold_attack,gca,89,7,7,0,0
Cora,per_node_gold_attack,gca,94,2,5,3,1
Cora,per_node_gold_attack,gca,95,1,1,0,0
Cora,per_node_gold_attack,gca,109,38,55,17,1
Cora,per_node_gold_attack,gca,118,1,1,0,0
Cora,per_node_gold_attack,gca,154,7,6,-1,0
Cora,per_node_gold_attack,gca,180,1,1,0,0
Cora,per_node_gold_attack,gca,210,2,4,2,1
Cora,per_node_gold_attack,gca,218,1,1,0,0
Cora,per_node_gold_attack,gca,236,1,2,1,1
Cora,per_node_gold_attack,gca,239,3,3,0,0
Cora,per_node_gold_attack,gca,279,4,3,-1,0
Cora,per_node_gold_attack,gca,306,15,7,-8,0
Cora,per_node_gold_attack,gca,310,3,1,-2,0
Cora,per_node_gold_attack,gca,316,1,2,1,1
Cora,per_node_gold_attack,gca,350,2,4,2,1
Cora,per_node_gold_attack,gca,364,1,1,0,0
Cora,per_node_gold_attack,gca,415,6,4,-2,0
Cora,per_node_gold_attack,gca,429,1,1,0,0
Cora,per_node_gold_attack,gca,436,1,1,0,0
Cora,per_node_gold_attack,gca,441,177,263,86,1
Cora,per_node_gold_attack,gca,454,1,1,0,0
Cora,per_node_gold_attack,gca,456,2,5,3,1
Cora,per_node_gold_attack,gca,487,1,2,1,1
Cora,per_node_gold_attack,gca,505,1,1,0,0
Cora,per_node_gold_attack,gca,507,3,3,0,0
Cora,per_node_gold_attack,gca,519,2,2,0,0
Cora,per_node_gold_attack,gca,525,2,1,-1,0
Cora,per_node_gold_attack,gca,565,4,4,0,0
Cora,per_node_gold_attack,gca,577,3,4,1,1
Cora,per_node_gold_attack,gca,598,1,1,0,0
Cora,per_node_gold_attack,gca,645,1,1,0,0
Cora,per_node_gold_attack,gca,657,3,11,8,1
Cora,per_node_gold_attack,gca,661,5,10,5,1
Cora,per_node_gold_attack,gca,687,6,5,-1,0
Cora,per_node_gold_attack,gca,733,2,5,3,1
Cora,per_node_gold_attack,gca,734,2,2,0,0
Cora,per_node_gold_attack,gca,736,1,2,1,1
Cora,per_node_gold_attack,gca,748,3,2,-1,0
Cora,per_node_gold_attack,gca,756,8,9,1,1
Cora,per_node_gold_attack,gca,963,4,1,-3,0
Cora,per_node_gold_attack,gca,973,1,1,0,0
Cora,per_node_gold_attack,gca,1013,5,7,2,1
Cora,per_node_gold_attack,gca,1015,14,28,14,1
Cora,per_node_gold_attack,gca,1042,2,3,1,1
Cora,per_node_gold_attack,gca,1050,4,3,-1,0
Cora,per_node_gold_attack,gca,1072,10,5,-5,0
Cora,per_node_gold_attack,gca,1103,4,7,3,1
Cora,per_node_gold_attack,gca,1119,4,5,1,1
Cora,per_node_gold_attack,gca,1131,1,1,0,0
Cora,per_node_gold_attack,gca,1154,2,3,1,1
Cora,per_node_gold_attack,gca,1169,2,1,-1,0
Cora,per_node_gold_attack,gca,1171,4,7,3,1
Cora,per_node_gold_attack,gca,1224,1,1,0,0
Cora,per_node_gold_attack,gca,1229,2,3,1,1
Cora,per_node_gold_attack,gca,1257,2,3,1,1
Cora,per_node_gold_attack,gca,1309,1,1,0,0
Cora,per_node_gold_attack,gca,1317,2,2,0,0
Cora,per_node_gold_attack,gca,1351,1,1,0,0
Cora,per_node_gold_attack,gca,1358,3,2,-1,0
Cora,per_node_gold_attack,gca,1367,2,14,12,1
Cora,per_node_gold_attack,gca,1413,6,3,-3,0
Cora,per_node_gold_attack,gca,1416,1,1,0,0
Cora,per_node_gold_attack,gca,1441,3,6,3,1
Cora,per_node_gold_attack,gca,1483,6,5,-1,0
Cora,per_node_gold_attack,gca,1505,3,2,-1,0
Cora,per_node_gold_attack,gca,1542,3,1,-2,0
Cora,per_node_gold_attack,gca,1583,1,1,0,0
Cora,per_node_gold_attack,gca,1602,1,7,6,1
Cora,per_node_gold_attack,gca,1623,3,1,-2,0
Cora,per_node_gold_attack,gca,1624,1,1,0,0
Cora,per_node_gold_attack,gca,1628,1,1,0,0
Cora,per_node_gold_attack,gca,1655,1,1,0,0
