data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
Cora,per_node_gold_attack,grace,55,3,1,-2,0
Cora,per_node_gold_attack,grace,59,1,1,0,0
Cora,per_node_gold_attack,grace,65,2,4,2,1
Cora,per_node_gold_attack,grace,73,2,5,3,1
Cora,per_node_gold_attack,grace,88,3,2,-1,0
Cora,per_node_gold_attack,grace,89,9,8,-1,0
Cora,per_node_gold_attack,grace,94,2,3,1,1
Cora,per_node_gold_attack,grace,95,12,2,-10,0
Cora,per_node_gold_attack,grace,109,14,21,7,1
Cora,per_node_gold_attack,grace,118,11,6,-5,0
Cora,per_node_gold_attack,grace,154,10,9,-1,0
Cora,per_node_gold_attack,grace,180,7,5,-2,0
Cora,per_node_gold_attack,grace,210,2,2,0,0
Cora,per_node_gold_attack,grace,218,4,2,-2,0
Cora,per_node_gold_attack,grace,236,2,20,18,1
Cora,per_node_gold_attack,grace,239,1,3,2,1
Cora,per_node_gold_attack,grace,279,8,13,5,1
Cora,per_node_gold_attack,grace,306,15,7,-8,0
Cora,per_node_gold_attack,grace,310,8,6,-2,0
Cora,per_node_gold_attack,grace,316,18,4,-14,0
Cora,per_node_gold_attack,grace,350,372,666,294,1
Cora,per_node_gold_attack,grace,364,1,2,1,1
Cora,per_node_gold_attack,grace,415,18,4,-14,0
Cora,per_node_gold_attack,grace,429,2,3,1,1
Cora,per_node_gold_attack,grace,436,2,1,-1,0
Cora,per_node_gold_attack,grace,441,1,29,28,1
Cora,per_node_gold_attack,grace,454,1,5,4,1
Cora,per_node_gold_attack,grace,456,1,2,1,1
Cora,per_node_gold_attack,grace,487,3,3,0,0
Cora,per_node_gold_attack,grace,505,1,1,0,0
Cora,per_node_gold_attack,grace,507,3,3,0,0
Cora,per_node_gold_attack,grace,519,77,50,-27,0
Cora,per_node_gold_attack,grace,525,2,11,9,1
Cora,per_node_gold_attack,grace,565,73,49,-24,0
Cora,per_node_gold_attack,grace,577,3,3,0,0
Cora,per_node_gold_attack,grace,598,13,1,-12,0
Cora,per_node_gold_attack,grace,645,103,7,-96,0
Cora,per_node_gold_attack,grace,657,1,10,9,1
Cora,per_node_gold_attack,grace,661,79,23,-56,0
Cora,per_node_gold_attack,grace,687,4,4,0,0
Cora,per_node_gold_attack,grace,733,52,77,25,1
Cora,per_node_gold_attack,grace,734,4,46,42,1
Cora,per_node_gold_attack,grace,736,1,2,1,1
Cora,per_node_gold_attack,grace,748,3,10,7,1
Cora,per_node_gold_attack,grace,756,8,11,3,1
Cora,per_node_gold_attack,grace,963,18,12,-6,0
Cora,per_node_gold_attack,grace,973,21,4,-17,0
Cora,per_node_gold_attack,grace,1013,74,47,-27,0
Cora,per_node_gold_attack,grace,1015,23,112,89,1
Cora,per_node_gold_attack,grace,1042,4,2,-2,0
Cora,per_node_gold_attack,grace,1050,1,1,0,0
Cora,per_node_gold_attack,grace,1072,3,11,8,1
Cora,per_node_gold_attack,grace,1103,7,19,12,1
Cora,per_node_gold_attack,grace,1119,1,1,0,0
Cora,per_node_gold_attack,grace,1131,17,11,-6,0
Cora,per_node_gold_attack,grace,1154,15,25,10,1
Cora,per_node_gold_attack,grace,1169,1,5,4,1
Cora,per_node_gold_attack,grace,1171,26,3,-23,0
Cora,per_node_gold_attack,grace,1224,14,4,-10,0
Cora,per_node_gold_attack,grace,1229,9,5,-4,0
Cora,per_node_gold_attack,grace,1257,2,4,2,1
Cora,per_node_gold_attack,grace,1309,4,1,-3,0
Cora,per_node_gold_attack,grace,1317,3,1,-2,0
Cora,per_node_gold_attack,grace,1351,5,13,8,1
Cora,per_node_gold_attack,grace,1358,66,38,-28,0
