data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
Cora,per_node_highest_degree,greet,55,1,1,0,0
Cora,per_node_highest_degree,greet,59,5,7,2,1
Cora,per_node_highest_degree,greet,65,1,1,0,0
Cora,per_node_highest_degree,greet,73,2,2,0,0
Cora,per_node_highest_degree,greet,88,1,1,0,0
Cora,per_node_highest_degree,greet,89,1,1,0,0
Cora,per_node_highest_degree,greet,94,2,3,1,1
Cora,per_node_highest_degree,greet,95,1,1,0,0
Cora,per_node_highest_degree,greet,109,1,7,6,1
Cora,per_node_highest_degree,greet,118,1,1,0,0
Cora,per_node_highest_degree,greet,154,1,1,0,0
Cora,per_node_highest_degree,greet,180,1,1,0,0
Cora,per_node_highest_degree,greet,210,1,1,0,0
Cora,per_node_highest_degree,greet,218,1,1,0,0
Cora,per_node_highest_degree,greet,236,1,1,0,0
Cora,per_node_highest_degree,greet,239,1,1,0,0
Cora,per_node_highest_degree,greet,279,1,1,0,0
Cora,per_node_highest_degree,greet,306,1,1,0,0
Cora,per_node_highest_degree,greet,310,1,1,0,0
Cora,per_node_highest_degree,greet,316,1,3,2,1
Cora,per_node_highest_degree,greet,350,3,1,-2,0
Cora,per_node_highest_degree,greet,364,1,2,1,1
Cora,per_node_highest_degree,greet,415,1,2,1,1
Cora,per_node_highest_degree,greet,429,1,1,0,0
Cora,per_node_highest_degree,greet,436,1,1,0,0
Cora,per_node_highest_degree,greet,441,143,127,-16,0
Cora,per_node_highest_degree,greet,454,1,1,0,0
Cora,per_node_highest_degree,greet,456,2,3,1,1
Cora,per_node_highest_degree,greet,487,1,1,0,0
Cora,per_node_highest_degree,greet,505,1,1,0,0
Cora,per_node_highest_degree,greet,507,3,3,0,0
Cora,per_node_highest_degree,greet,519,1,1,0,0
Cora,per_node_highest_degree,greet,525,1,1,0,0
Cora,per_node_highest_degree,greet,565,1,1,0,0
Cora,per_node_highest_degree,greet,577,1,1,0,0
Cora,per_node_highest_degree,greet,598,1,1,0,0
Cora,per_node_highest_degree,greet,645,1,1,0,0
Cora,per_node_highest_degree,greet,657,1,4,3,1
Cora,per_node_highest_degree,greet,661,1,1,0,0
Cora,per_node_highest_degree,greet,687,5,5,0,0
Cora,per_node_highest_degree,greet,733,1,1,0,0
Cora,per_node_highest_degree,greet,734,12,14,2,1
Cora,per_node_highest_degree,greet,736,1,1,0,0
Cora,per_node_highest_degree,greet,748,1,2,1,1
Cora,per_node_highest_degree,greet,756,2,2,0,0
Cora,per_node_highest_degree,greet,963,1,1,0,0
Cora,per_node_highest_degree,greet,973,2,2,0,0
Cora,per_node_highest_degree,greet,1013,10,13,3,1
Cora,per_node_highest_degree,greet,1015,6,8,2,1
Cora,per_node_highest_degree,greet,1042,1,1,0,0
Cora,per_node_highest_degree,greet,1050,1,1,0,0
Cora,per_node_highest_degree,greet,1072,2,3,1,1
Cora,per_node_highest_degree,greet,1103,1,1,0,0
Cora,per_node_highest_degree,greet,1119,1,2,1,1
Cora,per_node_highest_degree,greet,1131,1,1,0,0
Cora,per_node_highest_degree,greet,1154,1,1,0,0
Cora,per_node_highest_degree,greet,1169,1,1,0,0
Cora,per_node_highest_degree,greet,1171,1,1,0,0
Cora,per_node_highest_degree,greet,1224,1,1,0,0
Cora,per_node_highest_degree,greet,1229,1,1,0,0
Cora,per_node_highest_degree,greet,1257,1,1,0,0
Cora,per_node_highest_degree,greet,1309,1,1,0,0
Cora,per_node_highest_degree,greet,1317,1,1,0,0
Cora,per_node_highest_degree,greet,1351,1,1,0,0
