data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
Cora,per_node_targeted_node,grace,55,3,1,-2,0
Cora,per_node_targeted_node,grace,59,1,1,0,0
Cora,per_node_targeted_node,grace,65,2,4,2,1
Cora,per_node_targeted_node,grace,73,2,4,2,1
Cora,per_node_targeted_node,grace,88,3,1,-2,0
Cora,per_node_targeted_node,grace,89,9,8,-1,0
Cora,per_node_targeted_node,grace,94,2,2,0,0
Cora,per_node_targeted_node,grace,95,12,1,-11,0
Cora,per_node_targeted_node,grace,109,14,21,7,1
Cora,per_node_targeted_node,grace,118,11,5,-6,0
Cora,per_node_targeted_node,grace,154,10,5,-5,0
Cora,per_node_targeted_node,grace,180,7,5,-2,0
Cora,per_node_targeted_node,grace,210,2,1,-1,0
Cora,per_node_targeted_node,grace,218,4,2,-2,0
Cora,per_node_targeted_node,grace,236,2,17,15,1
Cora,per_node_targeted_node,grace,239,1,2,1,1
Cora,per_node_targeted_node,grace,279,8,10,2,1
Cora,per_node_targeted_node,grace,306,15,7,-8,0
Cora,per_node_targeted_node,grace,310,8,5,-3,0
Cora,per_node_targeted_node,grace,316,18,1,-17,0
Cora,per_node_targeted_node,grace,350,372,657,285,1
Cora,per_node_targeted_node,grace,364,1,2,1,1
Cora,per_node_targeted_node,grace,415,18,4,-14,0
Cora,per_node_targeted_node,grace,429,2,2,0,0
Cora,per_node_targeted_node,grace,436,2,1,-1,0
Cora,per_node_targeted_node,grace,441,1,19,18,1
Cora,per_node_targeted_node,grace,454,1,2,1,1
Cora,per_node_targeted_node,grace,456,1,2,1,1
Cora,per_node_targeted_node,grace,487,3,2,-1,0
Cora,per_node_targeted_node,grace,505,1,1,0,0
Cora,per_node_targeted_node,grace,507,3,3,0,0
Cora,per_node_targeted_node,grace,519,77,39,-38,0
Cora,per_node_targeted_node,grace,525,2,9,7,1
Cora,per_node_targeted_node,grace,565,73,46,-27,0
Cora,per_node_targeted_node,grace,577,3,3,0,0
Cora,per_node_targeted_node,grace,598,13,1,-12,0
Cora,per_node_targeted_node,grace,645,103,3,-100,0
Cora,per_node_targeted_node,grace,657,1,9,8,1
Cora,per_node_targeted_node,grace,661,79,9,-70,0
Cora,per_node_targeted_node,grace,687,4,4,0,0
Cora,per_node_targeted_node,grace,733,52,58,6,1
Cora,per_node_targeted_node,grace,734,4,45,41,1
Cora,per_node_targeted_node,grace,736,1,1,0,0
Cora,per_node_targeted_node,grace,748,3,10,7,1
Cora,per_node_targeted_node,grace,756,8,11,3,1
Cora,per_node_targeted_node,grace,963,18,12,-6,0
Cora,per_node_targeted_node,grace,973,21,4,-17,0
Cora,per_node_targeted_node,grace,1013,74,38,-36,0
Cora,per_node_targeted_node,grace,1015,23,91,68,1
Cora,per_node_targeted_node,grace,1042,4,1,-3,0
Cora,per_node_targeted_node,grace,1050,1,1,0,0
Cora,per_node_targeted_node,grace,1072,3,8,5,1
Cora,per_node_targeted_node,grace,1103,7,15,8,1
Cora,per_node_targeted_node,grace,1119,1,1,0,0
Cora,per_node_targeted_node,grace,1131,17,8,-9,0
Cora,per_node_targeted_node,grace,1154,15,25,10,1
Cora,per_node_targeted_node,grace,1169,1,3,2,1
Cora,per_node_targeted_node,grace,1171,26,2,-24,0
Cora,per_node_targeted_node,grace,1224,14,4,-10,0
Cora,per_node_targeted_node,grace,1229,9,5,-4,0
Cora,per_node_targeted_node,grace,1257,2,4,2,1
Cora,per_node_targeted_node,grace,1309,4,1,-3,0
Cora,per_node_targeted_node,grace,1317,3,1,-2,0
Cora,per_node_targeted_node,grace,1351,5,8,3,1
Cora,per_node_targeted_node,grace,1358,66,38,-28,0
Cora,per_node_targeted_node,grace,1367,1,29,28,1
Cora,per_node_targeted_node,grace,1413,12,2,-10,0
Cora,per_node_targeted_node,grace,1416,32,17,-15,0
Cora,per_node_targeted_node,grace,1441,1,8,7,1
Cora,per_node_targeted_node,grace,1483,10,6,-4,0
Cora,per_node_targeted_node,grace,1505,29,4,-25,0
Cora,per_node_targeted_node,grace,1542,2,2,0,0
Cora,per_node_targeted_node,grace,1583,4,3,-1,0
Cora,per_node_targeted_node,grace,1602,209,273,64,1
Cora,per_node_targeted_node,grace,1623,37,19,-18,0
Cora,per_node_targeted_node,grace,1624,3,2,-1,0
Cora,per_node_targeted_node,grace,1628,1,1,0,0
Cora,per_node_targeted_node,grace,1655,15,6,-9,0
Cora,per_node_targeted_node,grace,1682,1,1,0,0
Cora,per_node_targeted_node,grace,1692,3,1,-2,0
Cora,per_node_targeted_node,grace,1701,51,16,-35,0
Cora,per_node_targeted_node,grace,1702,1,7,6,1
Cora,per_node_targeted_node,grace,1703,1,1,0,0
Cora,per_node_targeted_node,grace,1725,2,10,8,1
Cora,per_node_targeted_node,grace,1740,1,1,0,0
Cora,per_node_targeted_node,grace,1742,9,2,-7,0
Cora,per_node_targeted_node,grace,1765,1,1,0,0
Cora,per_node_targeted_node,grace,1776,2,1,-1,0
Cora,per_node_targeted_node,grace,1810,411,457,46,1
Cora,per_node_targeted_node,grace,1842,3,3,0,0
Cora,per_node_targeted_node,grace,1869,30,13,-17,0
Cora,per_node_targeted_node,grace,1894,48,38,-10,0
Cora,per_node_targeted_node,grace,1902,1,5,4,1
Cora,per_node_targeted_node,grace,1912,5,1,-4,0
Cora,per_node_targeted_node,grace,1914,24,10,-14,0
Cora,per_node_targeted_node,grace,1927,2,3,1,1
Cora,per_node_targeted_node,grace,1950,10,3,-7,0
Cora,per_node_targeted_node,grace,1952,4,3,-1,0
Cora,per_node_targeted_node,grace,1966,4,1,-3,0
Cora,per_node_targeted_node,grace,1973,3,1,-2,0
Cora,per_node_targeted_node,grace,55,3,1,-2,0
Cora,per_node_targeted_node,grace,59,1,1,0,0
Cora,per_node_targeted_node,grace,65,2,4,2,1
Cora,per_node_targeted_node,grace,73,2,4,2,1
Cora,per_node_targeted_node,grace,88,3,1,-2,0
Cora,per_node_targeted_node,grace,89,9,7,-2,0
Cora,per_node_targeted_node,grace,94,2,2,0,0
Cora,per_node_targeted_node,grace,95,12,2,-10,0
Cora,per_node_targeted_node,grace,109,14,10,-4,0
Cora,per_node_targeted_node,grace,118,11,3,-8,0
Cora,per_node_targeted_node,grace,154,10,4,-6,0
Cora,per_node_targeted_node,grace,180,7,5,-2,0
Cora,per_node_targeted_node,grace,210,2,1,-1,0
Cora,per_node_targeted_node,grace,218,4,2,-2,0
Cora,per_node_targeted_node,grace,236,2,27,25,1
Cora,per_node_targeted_node,grace,239,1,2,1,1
Cora,per_node_targeted_node,grace,279,8,14,6,1
Cora,per_node_targeted_node,grace,306,15,7,-8,0
Cora,per_node_targeted_node,grace,310,8,5,-3,0
Cora,per_node_targeted_node,grace,316,18,4,-14,0
Cora,per_node_targeted_node,grace,350,372,697,325,1
Cora,per_node_targeted_node,grace,364,1,1,0,0
Cora,per_node_targeted_node,grace,415,18,3,-15,0
Cora,per_node_targeted_node,grace,429,2,2,0,0
Cora,per_node_targeted_node,grace,436,2,1,-1,0
Cora,per_node_targeted_node,grace,441,1,26,25,1
Cora,per_node_targeted_node,grace,454,1,4,3,1
Cora,per_node_targeted_node,grace,456,1,2,1,1
Cora,per_node_targeted_node,grace,487,3,3,0,0
Cora,per_node_targeted_node,grace,505,1,1,0,0
Cora,per_node_targeted_node,grace,507,3,3,0,0
Cora,per_node_targeted_node,grace,519,77,63,-14,0
Cora,per_node_targeted_node,grace,525,2,10,8,1
Cora,per_node_targeted_node,grace,565,73,67,-6,0
Cora,per_node_targeted_node,grace,577,3,3,0,0
Cora,per_node_targeted_node,grace,598,13,1,-12,0
Cora,per_node_targeted_node,grace,645,103,9,-94,0
Cora,per_node_targeted_node,grace,657,1,9,8,1
Cora,per_node_targeted_node,grace,661,79,8,-71,0
Cora,per_node_targeted_node,grace,687,4,4,0,0
Cora,per_node_targeted_node,grace,733,52,84,32,1
Cora,per_node_targeted_node,grace,734,4,45,41,1
Cora,per_node_targeted_node,grace,736,1,1,0,0
Cora,per_node_targeted_node,grace,748,3,25,22,1
Cora,per_node_targeted_node,grace,756,8,11,3,1
Cora,per_node_targeted_node,grace,963,18,13,-5,0
Cora,per_node_targeted_node,grace,973,21,2,-19,0
Cora,per_node_targeted_node,grace,1013,74,39,-35,0
Cora,per_node_targeted_node,grace,1015,23,102,79,1
Cora,per_node_targeted_node,grace,1042,4,1,-3,0
Cora,per_node_targeted_node,grace,1050,1,1,0,0
Cora,per_node_targeted_node,grace,1072,3,8,5,1
Cora,per_node_targeted_node,grace,1103,7,20,13,1
Cora,per_node_targeted_node,grace,1119,1,2,1,1
Cora,per_node_targeted_node,grace,1131,17,8,-9,0
Cora,per_node_targeted_node,grace,1154,15,30,15,1
Cora,per_node_targeted_node,grace,1169,1,3,2,1
Cora,per_node_targeted_node,grace,1171,26,8,-18,0
Cora,per_node_targeted_node,grace,1224,14,4,-10,0
Cora,per_node_targeted_node,grace,1229,9,7,-2,0
Cora,per_node_targeted_node,grace,1257,2,7,5,1
Cora,per_node_targeted_node,grace,1309,4,2,-2,0
Cora,per_node_targeted_node,grace,1317,3,1,-2,0
Cora,per_node_targeted_node,grace,1351,5,9,4,1
Cora,per_node_targeted_node,grace,1358,66,38,-28,0
Cora,per_node_targeted_node,grace,1367,1,28,27,1
Cora,per_node_targeted_node,grace,1413,12,2,-10,0
Cora,per_node_targeted_node,grace,1416,32,25,-7,0
