data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
Cora,per_node_targeted_node,greet,55,1,1,0,0
Cora,per_node_targeted_node,greet,59,5,7,2,1
Cora,per_node_targeted_node,greet,65,1,1,0,0
Cora,per_node_targeted_node,greet,73,2,2,0,0
Cora,per_node_targeted_node,greet,88,1,1,0,0
Cora,per_node_targeted_node,greet,89,1,1,0,0
Cora,per_node_targeted_node,greet,94,2,3,1,1
Cora,per_node_targeted_node,greet,95,1,1,0,0
Cora,per_node_targeted_node,greet,109,1,7,6,1
Cora,per_node_targeted_node,greet,118,1,1,0,0
Cora,per_node_targeted_node,greet,154,1,1,0,0
Cora,per_node_targeted_node,greet,180,1,1,0,0
Cora,per_node_targeted_node,greet,210,1,1,0,0
Cora,per_node_targeted_node,greet,218,1,1,0,0
Cora,per_node_targeted_node,greet,236,1,1,0,0
Cora,per_node_targeted_node,greet,239,1,1,0,0
Cora,per_node_targeted_node,greet,279,1,1,0,0
Cora,per_node_targeted_node,greet,306,1,1,0,0
Cora,per_node_targeted_node,greet,310,1,1,0,0
Cora,per_node_targeted_node,greet,316,1,1,0,0
Cora,per_node_targeted_node,greet,350,3,2,-1,0
Cora,per_node_targeted_node,greet,364,1,1,0,0
Cora,per_node_targeted_node,greet,415,1,1,0,0
Cora,per_node_targeted_node,greet,429,1,1,0,0
Cora,per_node_targeted_node,greet,436,1,1,0,0
Cora,per_node_targeted_node,greet,441,143,138,-5,0
Cora,per_node_targeted_node,greet,454,1,1,0,0
Cora,per_node_targeted_node,greet,456,2,1,-1,0
Cora,per_node_targeted_node,greet,487,1,1,0,0
Cora,per_node_targeted_node,greet,505,1,1,0,0
Cora,per_node_targeted_node,greet,507,3,3,0,0
Cora,per_node_targeted_node,greet,519,1,1,0,0
Cora,per_node_targeted_node,greet,525,1,1,0,0
Cora,per_node_targeted_node,greet,565,1,1,0,0
Cora,per_node_targeted_node,greet,577,1,1,0,0
Cora,per_node_targeted_node,greet,598,1,1,0,0
Cora,per_node_targeted_node,greet,645,1,1,0,0
Cora,per_node_targeted_node,greet,657,1,1,0,0
Cora,per_node_targeted_node,greet,661,1,1,0,0
Cora,per_node_targeted_node,greet,687,5,5,0,0
Cora,per_node_targeted_node,greet,733,1,1,0,0
Cora,per_node_targeted_node,greet,734,12,12,0,0
Cora,per_node_targeted_node,greet,736,1,1,0,0
Cora,per_node_targeted_node,greet,748,1,1,0,0
Cora,per_node_targeted_node,greet,756,2,2,0,0
Cora,per_node_targeted_node,greet,963,1,1,0,0
Cora,per_node_targeted_node,greet,973,2,2,0,0
Cora,per_node_targeted_node,greet,1013,10,13,3,1
Cora,per_node_targeted_node,greet,1015,6,6,0,0
Cora,per_node_targeted_node,greet,1042,1,1,0,0
Cora,per_node_targeted_node,greet,1050,1,1,0,0
Cora,per_node_targeted_node,greet,1072,2,3,1,1
Cora,per_node_targeted_node,greet,1103,1,1,0,0
Cora,per_node_targeted_node,greet,1119,1,1,0,0
Cora,per_node_targeted_node,greet,1131,1,1,0,0
Cora,per_node_targeted_node,greet,1154,1,1,0,0
Cora,per_node_targeted_node,greet,1169,1,2,1,1
Cora,per_node_targeted_node,greet,1171,1,1,0,0
Cora,per_node_targeted_node,greet,1224,1,1,0,0
Cora,per_node_targeted_node,greet,1229,1,1,0,0
Cora,per_node_targeted_node,greet,1257,1,1,0,0
Cora,per_node_targeted_node,greet,1309,1,1,0,0
Cora,per_node_targeted_node,greet,1317,1,1,0,0
Cora,per_node_targeted_node,greet,1351,1,1,0,0
Cora,per_node_targeted_node,greet,1358,1,1,0,0
Cora,per_node_targeted_node,greet,1367,200,234,34,1
